        Date        hcnps_intlk_cz_t_front_40
2023-10-01 00:00:00                    21.138
2023-10-01 00:00:53                    21.169
2023-10-01 00:01:21                    21.142
2023-10-01 00:01:49                     21.18
2023-10-01 00:03:40                    21.142
2023-10-01 00:04:08                    21.205
2023-10-01 00:04:36                    21.184
2023-10-01 00:06:55                    21.212
2023-10-01 00:17:06                    21.238
2023-10-01 00:17:34                    21.213
2023-10-01 00:18:02                    21.245
2023-10-01 00:18:29                    21.223
2023-10-01 00:27:17                    21.248
2023-10-01 00:28:41                     21.22
2023-10-01 00:31:00                    21.243
2023-10-01 00:33:18                     21.22
2023-10-01 00:34:42                    21.245
2023-10-01 00:39:20                    21.223
2023-10-01 00:40:15                    21.245
2023-10-01 00:41:39                     21.22
2023-10-01 00:55:05                    21.197
2023-10-01 00:56:56                    21.222
2023-10-01 00:57:23                    21.199
2023-10-01 01:02:29                    21.172
2023-10-01 01:02:57                    21.201
2023-10-01 01:03:25                    21.161
2023-10-01 01:09:54                    21.136
2023-10-01 01:11:17                    21.163
2023-10-01 01:19:09                    21.141
2023-10-01 01:43:42                     21.12
2023-10-01 01:46:01                    21.096
2023-10-01 01:46:57                    21.128
2023-10-01 01:47:24                    21.094
2023-10-01 01:47:52                    21.127
2023-10-01 01:48:48                    21.102
2023-10-01 01:49:16                    21.129
2023-10-01 01:50:39                    21.107
2023-10-01 01:53:26                    21.079
2023-10-01 01:53:53                    21.102
2023-10-01 01:57:36                    21.074
2023-10-01 01:59:27                    21.095
2023-10-01 01:59:55                    21.056
2023-10-01 02:00:50                    21.086
2023-10-01 02:03:37                    21.058
2023-10-01 02:04:05                    21.086
2023-10-01 02:05:28                    21.059
2023-10-01 02:17:30                    21.035
2023-10-01 02:17:58                    21.062
2023-10-01 02:20:45                     21.03
2023-10-01 02:22:08                    21.053
2023-10-01 02:35:06                    21.082
2023-10-01 02:35:34                     21.03
2023-10-01 02:36:02                    21.062
2023-10-01 02:49:55                     21.09
2023-10-01 02:51:46                    21.053
2023-10-01 02:52:42                    21.075
2023-10-01 02:55:29                    21.097
2023-10-01 02:58:43                    21.072
2023-10-01 02:59:11                    21.095
2023-10-01 03:04:44                    21.128
2023-10-01 03:09:22                    21.149
2023-10-01 03:10:45                    21.172
2023-10-01 03:15:51                    21.197
2023-10-01 03:17:42                    21.175
2023-10-01 03:21:52                    21.202
2023-10-01 03:22:48                    21.178
2023-10-01 03:23:43                      21.2
2023-10-01 03:28:21                    21.227
2023-10-01 03:31:35                    21.256
2023-10-01 03:35:18                    21.281
2023-10-01 03:35:45                    21.311
2023-10-01 03:37:09                    21.285
2023-10-01 03:37:37                    21.317
2023-10-01 03:38:32                    21.282
2023-10-01 03:39:56                    21.314
2023-10-01 03:40:23                    21.292
2023-10-01 03:40:51                    21.317
2023-10-01 03:43:10                     21.29
2023-10-01 03:44:06                    21.319
2023-10-01 03:54:17                     21.34
2023-10-01 03:56:08                    21.314
2023-10-01 03:56:36                    21.342
2023-10-01 03:58:55                    21.365
2023-10-01 04:01:41                    21.342
2023-10-01 04:02:09                    21.372
2023-10-01 04:02:37                    21.395
2023-10-01 04:03:05                    21.367
2023-10-01 04:08:10                    21.392
2023-10-01 04:08:38                     21.37
2023-10-01 04:11:25                    21.393
2023-10-01 04:11:53                    21.355
2023-10-01 04:13:16                    21.383
2023-10-01 04:14:11                     21.34
2023-10-01 04:14:39                    21.363
2023-10-01 04:18:49                    21.332
2023-10-01 04:19:45                    21.358
2023-10-01 04:20:40                     21.33
2023-10-01 04:21:08                    21.359
2023-10-01 04:21:36                    21.329
2023-10-01 04:22:32                    21.352
2023-10-01 04:23:55                    21.329
2023-10-01 04:28:05                    21.357
2023-10-01 04:28:33                    21.327
2023-10-01 04:35:30                    21.307
2023-10-01 04:36:53                    21.329
2023-10-01 04:41:03                    21.282
2023-10-01 04:41:31                    21.307
2023-10-01 04:47:04                    21.332
2023-10-01 04:47:32                    21.307
2023-10-01 04:49:51                    21.271
2023-10-01 04:52:38                    21.304
2023-10-01 04:53:05                    21.252
2023-10-01 04:53:33                    21.286
2023-10-01 04:55:24                    21.253
2023-10-01 04:56:20                     21.28
2023-10-01 04:56:48                    21.257
2023-10-01 04:57:43                    21.224
2023-10-01 05:00:02                    21.202
2023-10-01 05:00:30                    21.239
2023-10-01 05:01:25                    21.217
2023-10-01 05:09:46                    21.188
2023-10-01 05:10:41                    21.212
2023-10-01 05:12:32                    21.183
2023-10-01 05:13:56                    21.215
2023-10-01 05:14:23                    21.173
2023-10-01 05:14:51                    21.195
2023-10-01 05:18:33                    21.172
2023-10-01 05:20:52                    21.197
2023-10-01 05:21:48                    21.175
2023-10-01 05:22:16                    21.199
2023-10-01 05:23:39                    21.179
2023-10-01 05:24:35                    21.137
2023-10-01 05:29:12                    21.112
2023-10-01 05:30:08                    21.133
2023-10-01 05:31:03                    21.109
2023-10-01 05:31:59                    21.145
2023-10-01 05:32:27                    21.092
2023-10-01 05:32:55                    21.127
2023-10-01 05:34:18                    21.104
2023-10-01 05:38:56                    21.082
2023-10-01 05:39:24                    21.107
2023-10-01 05:41:15                    21.085
2023-10-01 05:41:43                    21.117
2023-10-01 05:44:02                    21.092
2023-10-01 05:52:49                    21.067
2023-10-01 05:59:18                    21.041
2023-10-01 05:59:46                    21.066
2023-10-01 06:01:37                    21.036
2023-10-01 06:02:05                    21.064
2023-10-01 06:02:33                    21.027
2023-10-01 06:03:56                    21.002
2023-10-01 06:04:24                    21.048
2023-10-01 06:05:19                    21.018
2023-10-01 06:05:47                    21.046
2023-10-01 06:07:11                     21.01
2023-10-01 06:10:25                    21.032
2023-10-01 06:11:21                    20.997
2023-10-01 06:15:03                     21.02
2023-10-01 06:15:31                    20.997
2023-10-01 06:24:46                    21.025
2023-10-01 06:25:14                     20.99
2023-10-01 06:33:06                    21.017
2023-10-01 06:33:34                    20.993
2023-10-01 06:52:05                    21.025
2023-10-01 06:52:33                        21
2023-10-01 06:57:11                    21.027
2023-10-01 07:01:21                    21.051
2023-10-01 07:01:49                     21.02
2023-10-01 07:02:44                    21.053
2023-10-01 07:03:40                    21.032
2023-10-01 07:04:35                    21.058
2023-10-01 07:07:22                    21.091
2023-10-01 07:07:50                    21.066
2023-10-01 07:08:18                    21.088
2023-10-01 07:10:37                    21.122
2023-10-01 07:12:00                    21.097
2023-10-01 07:14:47                    21.124
2023-10-01 07:24:02                    21.151
2023-10-01 07:28:12                    21.205
2023-10-01 07:28:40                    21.172
2023-10-01 07:30:03                    21.194
2023-10-01 07:31:54                    21.221
2023-10-01 07:33:46                    21.189
2023-10-01 07:34:13                    21.225
2023-10-01 07:35:09                    21.264
2023-10-01 07:35:37                    21.235
2023-10-01 07:40:15                    21.259
2023-10-01 07:42:06                    21.235
2023-10-01 07:42:33                    21.262
2023-10-01 07:48:07                    21.297
2023-10-01 07:49:58                    21.276
2023-10-01 07:50:26                    21.305
2023-10-01 07:53:40                    21.333
2023-10-01 07:55:31                    21.353
2023-10-01 07:55:59                    21.308
2023-10-01 07:56:55                     21.33
2023-10-01 07:58:46                    21.351
2023-10-01 08:07:06                    21.376
2023-10-01 08:07:34                    21.341
2023-10-01 08:08:01                    21.364
2023-10-01 08:08:29                    21.341
2023-10-01 08:09:25                    21.364
2023-10-01 08:10:48                    21.386
2023-10-01 08:11:16                    21.361
2023-10-01 08:25:37                    21.323
2023-10-01 08:26:33                    21.352
2023-10-01 08:29:19                    21.331
2023-10-01 08:33:57                    21.305
2023-10-01 08:34:53                     21.34
2023-10-01 08:35:21                    21.306
2023-10-01 08:39:58                    21.269
2023-10-01 08:40:54                    21.296
2023-10-01 08:46:00                    21.272
2023-10-01 08:55:15                    21.247
2023-10-01 08:55:43                    21.279
2023-10-01 08:56:11                    21.257
2023-10-01 08:58:30                    21.286
2023-10-01 08:59:25                    21.254
2023-10-01 09:00:49                    21.227
2023-10-01 09:01:44                    21.252
