        Date        hcnps_intlk_chiller_EZ_read_chiller_temp
2023-10-05 12:55:48                                    19.99
2023-10-05 12:56:41                                    19.95
2023-10-05 12:57:08                                    19.98
2023-10-05 13:02:29                                    20.02
2023-10-05 13:05:58                                    19.99
2023-10-05 13:06:14                                    20.01
2023-10-05 13:06:30                                    19.99
2023-10-05 13:06:46                                    20.01
2023-10-05 13:07:26                                    19.99
2023-10-05 13:07:43                                    20.02
2023-10-05 13:07:59                                    19.99
2023-10-05 13:08:23                                    20.01
2023-10-05 13:08:47                                    19.99
2023-10-05 13:08:55                                    19.95
2023-10-05 13:09:03                                    19.98
2023-10-05 13:09:43                                    19.95
2023-10-05 13:10:00                                    19.98
2023-10-05 13:10:24                                    19.95
2023-10-05 13:16:15                                    20.15
2023-10-05 13:16:32                                    20.24
2023-10-05 13:17:00                                    20.41
2023-10-05 13:17:27                                    20.57
2023-10-05 13:17:55                                    20.72
2023-10-05 13:18:22                                    20.89
2023-10-05 13:18:50                                    21.04
2023-10-05 13:19:17                                    21.19
2023-10-05 13:19:44                                    21.33
2023-10-05 13:20:12                                    21.47
2023-10-05 13:20:39                                    21.61
2023-10-05 13:21:06                                    20.92
2023-10-05 13:21:33                                    21.19
2023-10-05 13:22:00                                    20.65
2023-10-05 13:22:27                                    20.57
2023-10-05 13:22:54                                    20.33
2023-10-05 13:23:21                                    20.18
2023-10-05 13:23:48                                    20.06
2023-10-05 13:24:15                                    19.98
2023-10-05 13:24:41                                    19.91
2023-10-05 13:25:08                                    19.82
2023-10-05 13:26:02                                    19.85
2023-10-05 13:26:29                                    19.88
2023-10-05 13:27:23                                    19.85
2023-10-05 13:27:50                                    19.88
2023-10-05 13:28:17                                    19.94
2023-10-05 13:32:19                                    19.98
2023-10-05 13:32:45                                    19.95
2023-10-05 13:35:54                                    19.98
2023-10-05 13:39:02                                    20.01
2023-10-05 13:40:50                                    20.04
2023-10-05 13:42:37                                    20.08
2023-10-05 13:45:19                                    20.05
2023-10-05 13:46:12                                    20.08
2023-10-05 13:46:39                                    20.04
