        Date        hcnps_intlk_cz_t_front_41
2023-10-01 00:00:00                    21.213
2023-10-01 00:02:44                    21.238
2023-10-01 00:07:22                     21.26
2023-10-01 00:08:18                    21.295
2023-10-01 00:09:41                    21.274
2023-10-01 00:10:37                      21.3
2023-10-01 00:19:53                    21.326
2023-10-01 00:21:44                    21.298
2023-10-01 00:22:39                    21.326
2023-10-01 00:23:35                    21.299
2023-10-01 00:24:03                    21.336
2023-10-01 00:24:31                    21.306
2023-10-01 00:26:49                    21.328
2023-10-01 00:28:13                    21.304
2023-10-01 00:30:04                    21.331
2023-10-01 00:32:23                    21.306
2023-10-01 00:33:18                    21.336
2023-10-01 00:33:46                    21.309
2023-10-01 00:37:56                    21.333
2023-10-01 00:38:24                    21.293
2023-10-01 00:39:20                    21.333
2023-10-01 00:39:47                    21.309
2023-10-01 00:47:12                    21.283
2023-10-01 00:48:08                    21.315
2023-10-01 00:52:46                    21.286
2023-10-01 00:53:13                    21.317
2023-10-01 00:54:37                     21.28
2023-10-01 00:55:32                     21.31
2023-10-01 00:56:56                    21.282
2023-10-01 00:57:23                    21.305
2023-10-01 00:58:19                    21.284
2023-10-01 01:00:38                    21.259
2023-10-01 01:01:06                    21.289
2023-10-01 01:02:01                    21.261
2023-10-01 01:02:57                    21.285
2023-10-01 01:03:52                    21.253
2023-10-01 01:04:20                    21.278
2023-10-01 01:05:16                    21.241
2023-10-01 01:08:30                     21.27
2023-10-01 01:08:58                    21.243
2023-10-01 01:21:56                     21.22
2023-10-01 01:23:19                    21.243
2023-10-01 01:24:15                    21.213
2023-10-01 01:24:43                    21.243
2023-10-01 01:25:38                    21.213
2023-10-01 01:26:34                    21.238
2023-10-01 01:28:25                    21.206
2023-10-01 01:29:21                    21.233
2023-10-01 01:32:35                     21.21
2023-10-01 01:35:22                    21.233
2023-10-01 01:37:13                     21.21
2023-10-01 01:45:33                    21.188
2023-10-01 01:50:11                     21.21
2023-10-01 01:52:02                    21.185
2023-10-01 01:57:36                    21.148
2023-10-01 01:58:04                    21.185
2023-10-01 01:59:27                     21.16
2023-10-01 01:59:55                    21.187
2023-10-01 02:01:18                    21.153
2023-10-01 02:01:46                     21.18
2023-10-01 02:03:09                    21.159
2023-10-01 02:07:19                    21.138
2023-10-01 02:08:15                    21.166
2023-10-01 02:08:43                     21.13
2023-10-01 02:10:34                    21.159
2023-10-01 02:11:57                    21.138
2023-10-01 02:13:48                    21.111
2023-10-01 02:14:16                    21.143
2023-10-01 02:16:07                    21.118
2023-10-01 02:16:35                    21.148
2023-10-01 02:17:30                    21.113
2023-10-01 02:18:54                    21.138
2023-10-01 02:19:22                    21.106
2023-10-01 02:20:17                    21.128
2023-10-01 02:33:43                    21.101
2023-10-01 02:34:11                    21.131
2023-10-01 02:50:51                    21.158
2023-10-01 02:51:19                    21.116
2023-10-01 02:52:42                    21.143
2023-10-01 02:57:20                    21.121
2023-10-01 02:58:43                    21.151
2023-10-01 03:06:35                    21.187
2023-10-01 03:07:59                    21.154
2023-10-01 03:08:26                    21.179
2023-10-01 03:09:22                    21.157
2023-10-01 03:09:50                    21.187
2023-10-01 03:13:04                    21.208
2023-10-01 03:18:10                     21.23
2023-10-01 03:27:53                    21.252
2023-10-01 03:29:44                     21.22
2023-10-01 03:30:12                    21.252
2023-10-01 03:35:18                    21.274
2023-10-01 03:36:13                    21.302
2023-10-01 03:39:00                     21.33
2023-10-01 03:39:28                    21.297
2023-10-01 03:39:56                    21.326
2023-10-01 03:40:51                    21.303
2023-10-01 03:41:19                     21.33
2023-10-01 03:42:14                    21.305
2023-10-01 03:43:38                    21.331
2023-10-01 03:48:43                    21.355
2023-10-01 03:49:11                    21.328
2023-10-01 03:49:39                    21.351
2023-10-01 04:01:14                    21.373
2023-10-01 04:04:00                     21.35
2023-10-01 04:04:56                    21.375
2023-10-01 04:21:36                    21.346
2023-10-01 04:26:42                     21.37
2023-10-01 04:27:09                    21.343
2023-10-01 04:29:01                    21.375
2023-10-01 04:29:56                    21.351
2023-10-01 04:45:13                    21.321
2023-10-01 04:46:09                    21.343
2023-10-01 04:48:55                    21.318
2023-10-01 04:51:14                     21.34
2023-10-01 04:53:05                    21.309
2023-10-01 04:56:20                    21.279
2023-10-01 04:57:15                    21.303
2023-10-01 04:58:11                    21.249
2023-10-01 04:58:39                    21.283
2023-10-01 04:59:06                    21.259
2023-10-01 05:01:25                    21.238
2023-10-01 05:01:53                    21.263
2023-10-01 05:02:49                     21.24
2023-10-01 05:04:12                     21.26
2023-10-01 05:04:40                     21.23
2023-10-01 05:05:35                    21.265
2023-10-01 05:06:03                     21.24
2023-10-01 05:12:32                    21.218
2023-10-01 05:22:16                    21.193
2023-10-01 05:24:35                    21.172
2023-10-01 05:25:02                    21.207
2023-10-01 05:29:12                    21.172
2023-10-01 05:32:55                    21.148
2023-10-01 05:36:37                    21.118
2023-10-01 05:37:05                    21.143
2023-10-01 05:39:24                    21.121
2023-10-01 05:39:51                    21.143
2023-10-01 05:41:15                    21.121
2023-10-01 05:50:58                    21.099
2023-10-01 05:51:54                    21.121
2023-10-01 05:56:59                    21.094
2023-10-01 05:57:27                     21.12
2023-10-01 05:57:55                    21.096
2023-10-01 05:58:51                    21.131
2023-10-01 05:59:18                    21.083
2023-10-01 06:00:14                    21.113
2023-10-01 06:01:09                    21.091
2023-10-01 06:03:56                    21.066
2023-10-01 06:04:24                    21.095
2023-10-01 06:05:47                     21.07
2023-10-01 06:06:15                    21.092
2023-10-01 06:06:43                    21.059
2023-10-01 06:10:25                    21.033
2023-10-01 06:13:40                    21.011
2023-10-01 06:14:07                    21.041
2023-10-01 06:17:50                     21.02
2023-10-01 06:24:46                    21.048
2023-10-01 06:25:14                    21.008
2023-10-01 06:30:47                    21.033
2023-10-01 06:31:43                    20.991
2023-10-01 06:32:11                    21.013
2023-10-01 06:33:06                    20.993
2023-10-01 06:35:25                     21.02
2023-10-01 06:36:21                    20.998
2023-10-01 06:38:40                     21.02
2023-10-01 06:39:07                    20.981
2023-10-01 06:40:31                    21.008
2023-10-01 06:50:42                    21.038
2023-10-01 06:51:10                    20.998
2023-10-01 06:51:38                     21.02
2023-10-01 07:00:25                    21.048
2023-10-01 07:01:21                     21.02
2023-10-01 07:01:49                    21.054
2023-10-01 07:02:44                    21.021
2023-10-01 07:04:35                    21.046
2023-10-01 07:05:59                    21.071
2023-10-01 07:06:26                    21.049
2023-10-01 07:07:50                    21.071
2023-10-01 07:11:04                      21.1
2023-10-01 07:18:01                    21.128
2023-10-01 07:18:57                    21.106
2023-10-01 07:22:11                    21.131
2023-10-01 07:22:39                    21.106
2023-10-01 07:26:21                    21.143
2023-10-01 07:26:49                    21.116
2023-10-01 07:27:44                    21.151
2023-10-01 07:28:12                    21.126
2023-10-01 07:29:08                    21.156
2023-10-01 07:32:22                    21.195
2023-10-01 07:33:46                     21.17
2023-10-01 07:34:13                    21.194
2023-10-01 07:35:09                    21.217
2023-10-01 07:37:00                    21.193
2023-10-01 07:37:28                     21.22
2023-10-01 07:42:06                    21.243
2023-10-01 07:53:12                     21.27
2023-10-01 07:53:40                    21.248
2023-10-01 07:55:04                     21.27
2023-10-01 07:59:41                    21.316
2023-10-01 08:01:05                    21.294
2023-10-01 08:02:28                    21.319
2023-10-01 08:10:20                    21.342
2023-10-01 08:11:44                    21.316
2023-10-01 08:13:07                    21.342
2023-10-01 08:16:49                    21.316
2023-10-01 08:17:17                    21.339
2023-10-01 08:18:40                    21.312
2023-10-01 08:19:08                    21.336
2023-10-01 08:19:36                     21.31
2023-10-01 08:24:42                    21.334
2023-10-01 08:26:05                    21.313
2023-10-01 08:32:34                     21.27
2023-10-01 08:33:57                    21.303
2023-10-01 08:37:40                    21.257
2023-10-01 08:38:35                    21.293
2023-10-01 08:39:31                     21.27
2023-10-01 09:01:44                    21.245
2023-10-01 09:06:50                    21.267
2023-10-01 09:07:45                    21.227
2023-10-01 09:08:13                    21.248
2023-10-01 09:10:32                    21.212
2023-10-01 09:11:28                    21.235
2023-10-01 09:13:47                    21.205
2023-10-01 09:14:14                    21.238
2023-10-01 09:14:42                    21.207
2023-10-01 09:21:11                    21.184
2023-10-01 09:23:30                    21.163
2023-10-01 09:29:31                    21.141
2023-10-01 09:29:59                    21.175
2023-10-01 09:30:55                    21.133
2023-10-01 09:38:19                    21.155
2023-10-01 09:39:43                    21.126
2023-10-01 09:45:44                    21.148
2023-10-01 09:46:39                    21.126
2023-10-01 09:59:09                    21.104
2023-10-01 09:59:37                    21.138
2023-10-01 10:01:01                    21.106
2023-10-01 10:01:28                    21.128
2023-10-01 10:02:24                    21.103
2023-10-01 10:03:19                    21.128
2023-10-01 10:06:34                     21.08
2023-10-01 10:07:02                     21.11
2023-10-01 10:09:48                    21.082
2023-10-01 10:11:12                    21.113
2023-10-01 10:13:03                    21.087
2023-10-01 10:14:26                    21.138
2023-10-01 10:14:54                    21.097
2023-10-01 10:19:04                    21.054
2023-10-01 10:19:32                    21.102
2023-10-01 10:20:27                    21.076
2023-10-01 10:21:23                    21.109
2023-10-01 10:21:51                    21.066
2023-10-01 10:23:14                    21.094
2023-10-01 10:24:10                    21.063
2023-10-01 10:34:21                    21.035
2023-10-01 10:34:49                    21.068
2023-10-01 10:35:44                     21.03
2023-10-01 10:36:40                    21.064
2023-10-01 10:37:08                    21.041
2023-10-01 10:37:35                    21.065
2023-10-01 10:38:59                    21.035
2023-10-01 10:39:54                     21.06
2023-10-01 10:40:22                    21.033
2023-10-01 10:45:28                    21.078
2023-10-01 10:45:56                    21.036
2023-10-01 10:52:24                    21.076
2023-10-01 10:54:16                    21.051
2023-10-01 10:57:58                    21.081
2023-10-01 10:58:26                    21.051
2023-10-01 10:58:53                    21.071
2023-10-01 11:00:45                      21.1
2023-10-01 11:01:12                    21.067
2023-10-01 11:02:08                      21.1
2023-10-01 11:10:00                    21.123
2023-10-01 11:21:35                    21.148
2023-10-01 11:23:26                    21.123
2023-10-01 11:24:21                     21.16
2023-10-01 11:29:27                    21.182
2023-10-01 11:30:50                    21.217
2023-10-01 11:31:18                    21.177
2023-10-01 11:32:42                    21.222
2023-10-01 11:36:52                     21.25
2023-10-01 11:37:19                    21.225
2023-10-01 11:38:15                     21.25
2023-10-01 11:53:04                     21.28
2023-10-01 11:54:00                    21.257
2023-10-01 11:55:51                    21.282
2023-10-01 11:59:05                     21.26
2023-10-01 12:00:01                    21.283
2023-10-01 12:08:21                    21.306
2023-10-01 12:09:16                     21.28
2023-10-01 12:11:35                    21.308
2023-10-01 12:12:03                    21.275
2023-10-01 12:12:31                    21.303
2023-10-01 12:13:54                    21.275
2023-10-01 12:16:41                    21.305
2023-10-01 12:17:36                    21.275
2023-10-01 12:19:27                    21.295
2023-10-01 12:20:23                    21.275
2023-10-01 12:20:51                    21.299
2023-10-01 12:21:46                    21.252
2023-10-01 12:22:14                    21.277
2023-10-01 12:22:42                    21.298
2023-10-01 12:24:05                    21.267
2023-10-01 12:25:00                     21.29
2023-10-01 12:25:56                    21.268
2023-10-01 12:29:38                     21.29
2023-10-01 12:30:34                    21.252
2023-10-01 12:31:01                     21.28
2023-10-01 12:33:20                    21.257
2023-10-01 12:36:35                    21.282
2023-10-01 12:37:30                     21.26
2023-10-01 12:49:04                    21.235
2023-10-01 12:50:56                     21.26
2023-10-01 12:51:23                     21.24
2023-10-01 12:52:19                     21.26
2023-10-01 12:54:10                    21.233
2023-10-01 12:57:24                    21.257
2023-10-01 13:01:07                    21.228
2023-10-01 13:02:30                    21.252
2023-10-01 13:04:21                    21.223
2023-10-01 13:07:35                    21.245
2023-10-01 13:08:03                     21.22
2023-10-01 13:08:59                    21.199
2023-10-01 13:09:54                     21.22
2023-10-01 13:17:46                    21.189
2023-10-01 13:21:56                    21.214
2023-10-01 13:22:52                    21.171
