        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-10-05 17:01:36                                    19.95
2023-10-05 17:02:30                                    19.98
2023-10-05 17:05:12                                    19.95
2023-10-05 17:06:05                                    19.99
2023-10-05 17:07:26                                    19.96
2023-10-05 17:15:03                                    19.99
2023-10-05 17:15:57                                    19.96
2023-10-05 17:35:13                                    19.99
2023-10-05 17:36:07                                    19.96
2023-10-05 17:37:01                                    19.99
2023-10-05 17:44:11                                    20.01
2023-10-05 17:44:38                                    19.99
2023-10-05 17:47:46                                    20.02
2023-10-05 17:48:40                                    19.98
2023-10-05 17:49:34                                    20.02
2023-10-05 17:50:28                                    19.99
2023-10-05 17:51:22                                    20.02
2023-10-05 17:52:15                                    19.99
2023-10-05 17:52:42                                    20.01
