        Date        hcnps_intlk_cz_t_back_31
2023-10-05 08:00:00                   12.136
2023-10-05 08:00:47                   12.167
2023-10-05 08:04:29                   12.145
2023-10-05 08:05:24                    12.17
2023-10-05 08:14:39                   12.214
2023-10-05 08:15:07                   12.168
2023-10-05 08:16:58                   12.214
2023-10-05 08:17:25                   12.189
2023-10-05 08:18:21                    12.14
2023-10-05 08:18:49                   12.191
2023-10-05 08:20:12                   12.165
2023-10-05 08:21:35                   12.185
2023-10-05 08:23:26                   12.163
2023-10-05 08:23:54                   12.187
2023-10-05 08:25:17                   12.156
2023-10-05 08:25:45                   12.181
2023-10-05 08:26:40                   12.201
2023-10-05 08:27:08                   12.165
2023-10-05 08:27:36                   12.189
2023-10-05 08:28:31                   12.156
2023-10-05 08:31:18                   12.183
2023-10-05 08:32:41                    12.15
2023-10-05 08:35:27                   12.125
2023-10-05 08:36:23                   12.163
2023-10-05 08:37:18                   12.142
2023-10-05 08:39:37                   12.174
2023-10-05 08:40:04                   12.108
2023-10-05 08:40:32                    12.13
2023-10-05 08:45:10                   12.107
2023-10-05 08:47:01                   12.127
2023-10-05 08:47:28                   12.106
2023-10-05 08:57:11                   12.084
2023-10-05 09:07:21                   12.054
2023-10-05 09:10:07                   12.078
2023-10-05 09:11:30                   12.044
2023-10-05 09:12:26                   12.068
2023-10-05 09:14:17                   12.033
2023-10-05 09:20:17                   11.994
2023-10-05 09:21:13                   12.037
2023-10-05 09:22:36                   12.005
2023-10-05 09:23:04                   12.029
2023-10-05 09:26:18                   12.002
2023-10-05 09:33:14                   11.967
2023-10-05 09:33:42                    11.99
2023-10-05 09:37:51                   11.965
2023-10-05 09:38:47                    11.99
2023-10-05 09:46:11                   11.964
2023-10-05 09:47:34                   11.985
2023-10-05 09:49:25                   11.964
2023-10-05 09:50:48                    11.99
2023-10-05 09:51:44                   11.967
2023-10-05 09:53:07                   11.992
2023-10-05 09:53:35                   11.962
2023-10-05 09:56:49                    11.99
2023-10-05 09:57:44                   11.967
2023-10-05 10:00:03                   11.946
2023-10-05 10:00:58                   11.972
2023-10-05 10:01:54                   11.949
2023-10-05 10:03:17                   11.977
2023-10-05 10:04:40                   11.936
2023-10-05 10:05:08                   11.964
2023-10-05 10:08:50                   11.941
2023-10-05 10:09:18                   11.966
2023-10-05 10:10:13                   11.934
2023-10-05 10:11:36                   11.954
2023-10-05 10:13:55                   11.927
2023-10-05 10:20:51                   11.956
2023-10-05 10:21:19                    11.93
2023-10-05 10:28:42                   11.908
2023-10-05 10:30:31                   11.935
2023-10-05 10:30:58                    11.91
2023-10-05 10:31:25                   11.938
2023-10-05 10:33:12                   11.961
2023-10-05 10:34:59                   12.004
2023-10-05 10:35:25                   11.977
2023-10-05 10:39:26                   12.002
2023-10-05 10:40:19                   11.962
2023-10-05 10:40:46                    11.99
2023-10-05 10:45:40                   11.955
2023-10-05 10:46:34                   11.982
2023-10-05 10:49:14                   11.955
2023-10-05 10:49:41                   11.987
2023-10-05 10:50:08                   11.949
2023-10-05 10:53:15                    11.97
2023-10-05 10:56:49                    11.94
2023-10-05 10:58:09                   11.967
2023-10-05 10:59:02                    11.94
2023-10-05 10:59:29                   11.962
2023-10-05 11:03:30                   11.933
2023-10-05 11:04:23                   11.954
2023-10-05 11:06:10                   11.977
2023-10-05 11:06:37                   11.949
2023-10-05 11:10:11                   11.927
2023-10-05 11:13:18                   11.949
2023-10-05 11:14:11                   11.927
2023-10-05 11:15:58                   11.949
2023-10-05 11:16:25                   11.924
2023-10-05 11:21:19                   11.949
2023-10-05 11:21:46                   11.928
2023-10-05 11:23:33                   11.903
2023-10-05 11:24:26                   11.934
2023-10-05 11:25:20                     11.9
2023-10-05 11:29:20                   11.924
2023-10-05 11:31:07                   11.885
2023-10-05 11:32:01                   11.913
2023-10-05 11:38:42                   11.882
2023-10-05 11:47:36                    11.86
2023-10-05 11:48:30                   11.882
2023-10-05 11:51:37                   11.858
2023-10-05 11:52:04                   11.905
2023-10-05 11:52:57                    11.87
2023-10-05 11:53:51                    11.91
2023-10-05 11:54:17                   11.882
2023-10-05 12:02:45                    11.85
2023-10-05 12:03:39                    11.88
2023-10-05 12:04:59                   11.859
2023-10-05 12:05:53                   11.887
2023-10-05 12:07:39                   11.859
2023-10-05 12:08:06                   11.882
2023-10-05 12:10:20                   11.859
2023-10-05 12:10:47                   11.889
2023-10-05 12:11:13                   11.857
2023-10-05 12:13:00                   11.887
2023-10-05 12:13:54                   11.847
2023-10-05 12:14:21                   11.882
2023-10-05 12:15:14                   11.857
2023-10-05 12:19:15                   11.879
2023-10-05 12:20:08                   11.855
2023-10-05 12:25:56                   11.877
2023-10-05 12:27:43                   11.842
2023-10-05 12:29:03                   11.867
2023-10-05 12:32:37                   11.835
2023-10-05 12:33:30                   11.867
2023-10-05 12:35:44                   11.842
2023-10-05 12:36:11                   11.867
2023-10-05 12:38:51                   11.847
2023-10-05 12:44:12                   11.869
2023-10-05 12:48:39                    11.84
2023-10-05 12:50:00                   11.867
2023-10-05 12:52:40                   11.845
2023-10-05 12:54:54                   11.869
2023-10-05 12:57:34                   11.847
2023-10-05 13:01:35                   11.869
2023-10-05 13:02:02                    11.84
2023-10-05 13:05:49                   11.862
2023-10-05 13:05:57                    -7777
2023-10-05 13:16:14                   11.886
2023-10-05 13:16:32                   11.921
2023-10-05 13:16:59                   11.898
2023-10-05 13:17:27                   11.921
2023-10-05 13:18:22                   11.951
2023-10-05 13:19:44                   11.988
2023-10-05 13:20:39                   12.037
2023-10-05 13:22:00                   12.062
2023-10-05 13:22:27                   12.084
2023-10-05 13:22:54                   12.108
2023-10-05 13:23:20                   12.135
2023-10-05 13:24:14                   12.162
2023-10-05 13:24:41                   12.194
2023-10-05 13:25:08                   12.224
2023-10-05 13:26:29                   12.279
2023-10-05 13:27:22                   12.313
2023-10-05 13:27:49                   12.351
2023-10-05 13:28:43                   12.383
2023-10-05 13:29:37                   12.415
2023-10-05 13:30:04                   12.439
2023-10-05 13:30:31                   12.466
2023-10-05 13:31:51                   12.495
2023-10-05 13:32:45                   12.523
2023-10-05 13:33:12                   12.547
2023-10-05 13:34:06                   12.592
2023-10-05 13:35:00                    12.62
2023-10-05 13:36:47                   12.653
2023-10-05 13:37:41                   12.683
2023-10-05 13:38:35                   12.712
2023-10-05 13:39:56                   12.747
2023-10-05 13:41:16                   12.779
2023-10-05 13:43:04                   12.801
2023-10-05 13:43:58                   12.825
2023-10-05 13:44:24                   12.845
2023-10-05 13:46:39                   12.867
2023-10-05 13:52:02                   12.892
2023-10-05 13:56:57                    12.86
2023-10-05 14:03:14                   12.835
2023-10-05 14:04:35                   12.815
2023-10-05 14:06:49                   12.791
2023-10-05 14:08:10                    12.77
2023-10-05 14:11:45                   12.746
2023-10-05 14:13:32                   12.704
2023-10-05 14:18:55                   12.657
2023-10-05 14:21:36                    12.63
2023-10-05 14:24:45                   12.596
2023-10-05 14:28:47                   12.569
2023-10-05 14:29:40                   12.549
2023-10-05 14:31:55                   12.527
2023-10-05 14:35:57                   12.492
2023-10-05 14:38:38                   12.472
2023-10-05 14:41:20                   12.434
2023-10-05 14:42:40                   12.455
2023-10-05 14:43:34                   12.425
2023-10-05 14:48:03                    12.39
2023-10-05 14:48:57                   12.413
2023-10-05 14:49:24                   12.376
2023-10-05 14:49:50                   12.405
2023-10-05 14:51:11                   12.378
2023-10-05 14:53:52                   12.355
2023-10-05 14:55:40                   12.333
2023-10-05 14:56:34                   12.354
2023-10-05 14:58:21                   12.323
2023-10-05 14:59:15                   12.291
2023-10-05 14:59:42                   12.316
2023-10-05 15:03:44                   12.294
2023-10-05 15:05:59                   12.268
2023-10-05 15:06:52                   12.289
2023-10-05 15:09:34                   12.259
2023-10-05 15:11:21                   12.229
2023-10-05 15:11:48                    12.26
2023-10-05 15:12:15                   12.229
2023-10-05 15:12:42                   12.249
2023-10-05 15:13:08                    12.22
2023-10-05 15:13:35                   12.254
2023-10-05 15:14:02                   12.232
2023-10-05 15:14:56                   12.257
2023-10-05 15:15:23                   12.227
2023-10-05 15:16:17                   12.204
2023-10-05 15:18:04                   12.233
2023-10-05 15:18:31                   12.207
2023-10-05 15:21:12                   12.165
