Run    CLT       Q1           Q2        PS    DCeff   DCeff  NEV(cer>2.)   NEV(cer>9.)

1839   76.3009   39918.014   40578.208   9   0.8190   0.8456   72841         59099
1840   77.8876   14262.885   14542.585   2   0.8420   0.8588   89837         84752
1842   76.6679   10677.232   10896.192   33  0.8230   0.8553   
1843   79.3496   19370.091   19703.137   3   0.6134   0.9568
1845   58.3443   23798.088   24170.481   1   0.8935   0.9537
1846   70.7104   25920.180   26321.655   1   0.9533   0.9551

