        Date        hcnps_intlk_cz_t_back_37
2023-10-10 08:00:00                   13.631
2023-10-10 08:03:20                   13.605
2023-10-10 08:03:47                    13.63
2023-10-10 08:06:55                    13.61
2023-10-10 08:07:22                   13.636
2023-10-10 08:08:16                   13.615
2023-10-10 08:12:45                   13.593
2023-10-10 08:13:39                   13.618
2023-10-10 08:14:59                   13.596
2023-10-10 08:15:26                    13.62
2023-10-10 08:21:16                   13.598
2023-10-10 08:24:24                   13.621
2023-10-10 08:26:39                   13.588
2023-10-10 08:27:33                   13.608
2023-10-10 08:33:49                   13.656
2023-10-10 08:34:16                   13.601
2023-10-10 08:36:58                   13.633
2023-10-10 08:37:52                    13.61
2023-10-10 08:39:12                   13.641
2023-10-10 08:48:37                   13.665
2023-10-10 08:49:31                   13.636
2023-10-10 08:49:58                   13.668
2023-10-10 08:54:00                   13.698
2023-10-10 08:57:08                   13.724
2023-10-10 08:57:35                     13.7
2023-10-10 08:58:56                   13.721
2023-10-10 09:01:37                   13.742
2023-10-10 09:02:31                   13.717
2023-10-10 09:02:58                   13.761
2023-10-10 09:03:25                   13.738
2023-10-10 09:06:33                   13.761
2023-10-10 09:08:21                   13.781
2023-10-10 09:09:42                   13.761
2023-10-10 09:10:09                   13.791
2023-10-10 09:10:35                    13.77
2023-10-10 09:11:29                   13.805
2023-10-10 09:11:56                   13.781
2023-10-10 09:13:44                   13.816
2023-10-10 09:14:11                   13.786
2023-10-10 09:14:38                   13.824
2023-10-10 09:15:04                   13.793
2023-10-10 09:15:58                   13.814
2023-10-10 09:18:13                   13.835
2023-10-10 09:20:54                   13.857
2023-10-10 09:24:03                   13.883
2023-10-10 09:24:29                   13.842
2023-10-10 09:25:23                    13.88
2023-10-10 09:28:59                    13.86
2023-10-10 09:29:25                   13.885
2023-10-10 09:50:30                   13.907
2023-10-10 09:50:57                   13.883
2023-10-10 09:55:53                   13.858
2023-10-10 09:56:20                     13.9
2023-10-10 09:58:34                   13.872
2023-10-10 10:01:16                   13.902
2023-10-10 10:01:43                   13.878
2023-10-10 10:05:18                   13.856
2023-10-10 10:05:45                    13.89
2023-10-10 10:06:12                   13.868
2023-10-10 10:07:59                   13.835
2023-10-10 10:08:26                   13.856
2023-10-10 10:10:41                   13.834
2023-10-10 10:12:01                   13.873
2023-10-10 10:12:28                    13.85
2023-10-10 10:20:06                   13.827
2023-10-10 10:20:59                    13.85
2023-10-10 10:21:53                   13.817
2023-10-10 10:22:47                    13.84
2023-10-10 10:23:14                   13.799
2023-10-10 10:23:41                   13.825
2023-10-10 10:25:28                   13.799
2023-10-10 10:26:22                   13.819
2023-10-10 10:27:16                   13.784
2023-10-10 10:28:10                   13.809
2023-10-10 10:30:51                   13.779
2023-10-10 10:41:37                   13.754
2023-10-10 10:51:29                   13.733
2023-10-10 10:51:56                   13.758
2023-10-10 10:52:23                   13.733
2023-10-10 10:55:31                   13.754
2023-10-10 10:55:58                   13.731
2023-10-10 11:00:27                   13.754
2023-10-10 11:00:54                   13.723
2023-10-10 11:10:19                   13.698
2023-10-10 11:15:15                   13.677
2023-10-10 11:16:35                   13.712
2023-10-10 11:17:02                   13.666
2023-10-10 11:17:29                   13.704
2023-10-10 11:17:56                   13.681
2023-10-10 11:23:46                   13.658
2023-10-10 11:26:27                   13.683
2023-10-10 11:28:42                   13.651
2023-10-10 11:29:09                   13.681
2023-10-10 11:30:03                   13.658
2023-10-10 11:31:50                   13.678
2023-10-10 11:32:17                   13.633
2023-10-10 11:32:44                   13.686
2023-10-10 11:33:11                   13.664
2023-10-10 11:34:59                   13.643
2023-10-10 11:35:52                   13.666
2023-10-10 11:36:46                   13.643
2023-10-10 11:38:07                   13.666
2023-10-10 11:40:21                   13.638
2023-10-10 11:41:15                   13.666
2023-10-10 11:43:03                   13.643
2023-10-10 11:54:15                   13.623
2023-10-10 11:55:09                   13.643
2023-10-10 11:57:51                   13.623
2023-10-10 11:58:44                   13.648
2023-10-10 12:01:26                   13.618
2023-10-10 12:02:20                   13.648
2023-10-10 12:03:13                   13.626
2023-10-10 12:04:34                   13.651
2023-10-10 12:05:55                   13.626
2023-10-10 12:07:16                   13.646
2023-10-10 12:07:43                   13.623
2023-10-10 12:10:24                   13.643
2023-10-10 12:12:38                   13.623
2023-10-10 12:14:26                   13.643
2023-10-10 12:14:53                   13.623
2023-10-10 12:15:20                   13.646
2023-10-10 12:16:14                   13.604
2023-10-10 12:16:41                   13.638
2023-10-10 12:22:57                   13.616
2023-10-10 12:23:24                   13.646
2023-10-10 12:23:51                    13.62
2023-10-10 12:24:45                   13.641
2023-10-10 12:28:47                   13.616
2023-10-10 12:29:41                   13.646
2023-10-10 12:30:08                   13.618
2023-10-10 12:31:01                   13.643
2023-10-10 12:34:10                   13.621
2023-10-10 12:34:37                   13.648
2023-10-10 12:35:04                   13.618
2023-10-10 12:36:24                   13.653
2023-10-10 12:37:45                   13.628
2023-10-10 12:38:39                   13.656
2023-10-10 12:43:35                   13.631
2023-10-10 12:44:02                    13.66
