        Date        hcnps_intlk_cz_t_back_15
2023-10-07 00:00:00                   16.132
2023-10-07 00:10:20                   16.161
2023-10-07 00:10:47                   16.128
2023-10-07 00:11:14                   16.152
2023-10-07 00:11:41                    16.13
2023-10-07 00:20:12                   16.107
2023-10-07 00:21:06                    16.14
2023-10-07 00:22:26                   16.105
2023-10-07 00:22:53                   16.139
2023-10-07 00:24:14                   16.088
2023-10-07 00:24:41                   16.111
2023-10-07 00:25:08                   16.134
2023-10-07 00:25:35                   16.108
2023-10-07 00:30:30                   16.135
2023-10-07 00:31:24                   16.088
2023-10-07 00:32:18                   16.116
2023-10-07 00:34:59                   16.083
2023-10-07 00:36:20                   16.107
2023-10-07 00:40:49                   16.085
2023-10-07 00:44:24                   16.111
2023-10-07 00:44:51                   16.088
2023-10-07 00:50:14                   16.111
2023-10-07 00:51:08                    16.09
2023-10-07 00:54:43                   16.052
2023-10-07 00:55:10                   16.088
2023-10-07 01:00:06                    16.06
2023-10-07 01:00:33                   16.081
2023-10-07 01:00:59                    16.06
2023-10-07 01:07:43                   16.089
2023-10-07 01:08:37                   16.065
2023-10-07 01:09:30                   16.043
2023-10-07 01:10:24                   16.077
2023-10-07 01:12:39                   16.045
2023-10-07 01:13:06                   16.083
2023-10-07 01:13:59                    16.06
2023-10-07 01:15:20                    16.03
2023-10-07 01:15:47                    16.06
2023-10-07 01:23:24                   16.033
2023-10-07 01:24:45                    16.06
2023-10-07 01:25:39                   16.034
2023-10-07 01:26:06                   16.055
2023-10-07 01:28:20                   16.028
2023-10-07 01:29:41                   16.062
2023-10-07 01:30:35                   16.035
2023-10-07 01:36:24                   16.056
2023-10-07 01:36:51                   16.034
2023-10-07 01:41:20                   16.059
2023-10-07 01:41:47                   16.025
2023-10-07 02:04:39                   16.002
2023-10-07 02:05:06                   16.032
2023-10-07 02:05:33                    16.01
2023-10-07 02:07:47                   16.034
2023-10-07 02:09:08                   16.005
2023-10-07 02:09:35                   16.034
2023-10-07 02:10:28                    16.01
2023-10-07 02:12:16                    15.99
2023-10-07 02:12:43                   16.022
2023-10-07 02:20:20                   15.995
2023-10-07 02:21:14                   16.017
2023-10-07 02:26:10                   15.995
2023-10-07 02:28:24                   16.015
2023-10-07 02:31:33                   15.985
2023-10-07 02:32:26                   16.027
2023-10-07 02:34:14                   16.002
2023-10-07 02:41:24                   15.979
2023-10-07 02:42:45                       16
2023-10-07 02:43:39                   16.021
2023-10-07 02:44:33                       16
2023-10-07 02:47:14                   16.025
2023-10-07 02:47:41                   15.982
2023-10-07 02:48:08                   16.007
2023-10-07 02:52:10                   15.985
2023-10-07 03:07:24                   16.012
2023-10-07 03:08:18                   15.989
2023-10-07 03:10:06                   15.969
2023-10-07 03:11:00                   16.004
2023-10-07 03:11:26                   15.979
2023-10-07 03:13:41                   16.002
2023-10-07 03:14:08                   15.975
2023-10-07 03:24:00                   15.996
2023-10-07 03:24:27                   15.964
2023-10-07 03:25:47                   15.937
2023-10-07 03:26:14                   15.979
2023-10-07 03:30:43                   15.946
2023-10-07 03:31:37                   15.979
2023-10-07 03:32:57                   15.951
2023-10-07 03:33:24                   15.976
2023-10-07 03:35:12                   15.952
2023-10-07 03:38:20                   15.984
2023-10-07 03:38:47                    15.95
2023-10-07 03:39:41                   15.971
2023-10-07 03:42:49                   15.939
2023-10-07 03:43:43                   15.964
2023-10-07 03:44:37                   15.936
2023-10-07 03:45:31                   15.959
2023-10-07 03:48:12                   15.927
2023-10-07 03:48:39                   15.951
2023-10-07 03:50:26                   15.972
2023-10-07 03:50:53                   15.926
2023-10-07 03:51:20                   15.961
2023-10-07 03:54:02                   15.931
2023-10-07 03:55:22                   15.959
2023-10-07 03:56:43                   15.935
2023-10-07 03:57:10                   15.964
2023-10-07 03:57:37                   15.941
2023-10-07 04:03:00                    15.92
2023-10-07 04:07:02                   15.951
2023-10-07 04:07:29                    15.92
2023-10-07 04:08:22                   15.948
2023-10-07 04:10:37                   15.921
2023-10-07 04:12:51                   15.942
2023-10-07 04:13:18                   15.913
2023-10-07 04:20:29                   15.945
2023-10-07 04:20:56                   15.915
2023-10-07 04:29:53                   15.938
2023-10-07 04:30:47                   15.915
2023-10-07 04:35:16                   15.935
2023-10-07 04:35:43                   15.903
2023-10-07 04:37:31                   15.928
2023-10-07 04:38:24                    15.89
2023-10-07 04:38:51                   15.923
2023-10-07 04:40:12                     15.9
2023-10-07 04:41:06                    15.93
2023-10-07 04:41:33                   15.898
2023-10-07 04:42:00                    15.92
2023-10-07 04:43:47                   15.876
2023-10-07 04:44:14                    15.91
2023-10-07 04:45:35                   15.888
2023-10-07 04:46:29                   15.913
2023-10-07 04:55:00                   15.938
2023-10-07 04:55:26                   15.912
2023-10-07 04:56:20                   15.888
2023-10-07 05:01:16                   15.918
2023-10-07 05:01:43                   15.893
2023-10-07 05:02:10                   15.918
2023-10-07 05:02:37                   15.888
2023-10-07 05:04:51                    15.91
2023-10-07 05:08:00                   15.888
2023-10-07 05:09:20                   15.913
2023-10-07 05:12:56                   15.888
2023-10-07 05:14:43                   15.915
2023-10-07 05:15:37                   15.891
2023-10-07 05:16:31                   15.917
2023-10-07 05:17:25                   15.895
2023-10-07 05:28:37                   15.918
2023-10-07 05:30:25                   15.893
2023-10-07 05:30:51                   15.925
2023-10-07 05:33:06                   15.905
2023-10-07 05:33:33                   15.925
2023-10-07 05:34:27                   15.898
2023-10-07 05:34:54                   15.935
2023-10-07 05:35:47                   15.905
2023-10-07 05:36:41                   15.949
2023-10-07 05:37:08                    15.92
2023-10-07 05:38:02                   15.946
2023-10-07 05:38:56                   15.912
2023-10-07 05:39:23                   15.947
2023-10-07 05:44:18                   15.969
2023-10-07 05:44:45                   15.944
2023-10-07 05:45:12                   15.972
2023-10-07 05:51:02                   16.002
2023-10-07 05:51:29                   15.972
2023-10-07 05:51:56                   16.002
2023-10-07 06:00:27                   16.034
2023-10-07 06:04:29                   16.007
2023-10-07 06:05:50                    16.04
2023-10-07 06:11:39                   16.078
2023-10-07 06:14:21                   16.053
2023-10-07 06:15:41                   16.091
2023-10-07 06:16:35                   16.056
2023-10-07 06:17:29                   16.079
2023-10-07 06:18:23                   16.109
2023-10-07 06:19:43                   16.075
2023-10-07 06:20:10                   16.102
2023-10-07 06:22:25                    16.08
2023-10-07 06:22:52                   16.104
2023-10-07 06:25:33                   16.077
2023-10-07 06:26:00                   16.102
2023-10-07 06:31:50                   16.127
2023-10-07 06:33:10                   16.097
2023-10-07 06:33:37                    16.13
2023-10-07 06:35:25                     16.1
2023-10-07 06:39:27                   16.123
2023-10-07 06:43:29                   16.096
2023-10-07 06:44:23                    16.12
2023-10-07 06:47:58                   16.099
2023-10-07 06:48:52                   16.129
2023-10-07 06:49:45                     16.1
2023-10-07 06:51:06                   16.122
2023-10-07 06:51:33                   16.094
2023-10-07 06:54:14                    16.12
2023-10-07 06:55:08                   16.089
2023-10-07 06:55:35                   16.119
2023-10-07 06:57:50                   16.084
2023-10-07 06:58:16                   16.107
2023-10-07 07:01:25                   16.084
2023-10-07 07:01:52                   16.111
2023-10-07 07:03:39                    16.09
2023-10-07 07:10:50                   16.116
2023-10-07 07:11:16                   16.086
2023-10-07 07:15:45                   16.065
2023-10-07 07:17:33                   16.088
2023-10-07 07:18:27                   16.056
2023-10-07 07:23:23                   16.078
2023-10-07 07:23:50                   16.055
2023-10-07 07:31:54                   16.078
2023-10-07 07:32:48                   16.051
2023-10-07 07:39:31                   16.027
2023-10-07 07:39:58                   16.055
2023-10-07 07:40:25                   16.025
2023-10-07 07:41:19                   16.045
2023-10-07 07:46:15                   16.025
2023-10-07 07:47:08                   16.051
2023-10-07 07:48:02                    16.02
2023-10-07 07:48:56                   16.045
2023-10-07 07:49:23                   16.025
2023-10-07 07:51:10                   16.049
2023-10-07 07:51:37                   16.022
2023-10-07 07:52:58                   16.044
2023-10-07 07:55:39                   16.012
2023-10-07 07:57:54                   16.042
2023-10-07 07:58:48                    16.02
2023-10-07 08:09:33                   15.997
2023-10-07 08:10:00                    16.03
2023-10-07 08:11:48                   16.007
2023-10-07 08:17:11                   16.039
2023-10-07 08:17:37                   16.005
2023-10-07 08:22:33                   16.027
2023-10-07 08:23:27                   15.997
2023-10-07 08:23:54                    16.03
2023-10-07 08:24:48                   16.007
2023-10-07 08:31:31                   15.987
2023-10-07 08:34:39                   16.007
2023-10-07 08:35:06                   15.984
2023-10-07 08:35:33                   16.007
2023-10-07 08:36:54                   15.987
2023-10-07 08:44:04                   16.007
2023-10-07 08:44:31                   15.981
2023-10-07 08:44:58                   16.007
2023-10-07 08:47:13                   15.982
2023-10-07 08:48:33                   16.015
2023-10-07 08:49:00                   15.984
2023-10-07 08:55:17                   16.007
2023-10-07 08:55:44                   15.971
2023-10-07 08:56:10                   15.997
2023-10-07 08:58:52                   15.976
2023-10-07 08:59:46                   15.997
2023-10-07 09:01:33                   15.966
2023-10-07 09:03:21                   15.991
2023-10-07 09:09:10                   15.959
2023-10-07 09:09:37                   16.004
2023-10-07 09:10:04                   15.982
2023-10-07 09:12:46                   15.957
2023-10-07 09:13:39                   15.984
2023-10-07 09:16:48                   15.959
2023-10-07 09:18:08                   15.981
2023-10-07 09:24:25                   15.959
2023-10-07 09:24:52                   15.986
2023-10-07 09:25:19                   15.951
2023-10-07 09:26:13                   15.974
2023-10-07 09:36:04                   15.944
2023-10-07 09:36:31                   15.977
2023-10-07 09:37:25                   15.954
2023-10-07 09:38:19                   15.979
2023-10-07 09:38:46                   15.953
2023-10-07 09:39:13                   15.974
2023-10-07 09:49:58                   15.943
2023-10-07 09:50:52                   15.969
2023-10-07 09:57:08                   15.946
2023-10-07 09:58:02                   15.989
2023-10-07 09:59:23                   15.954
2023-10-07 10:00:17                   15.979
2023-10-07 10:00:44                   15.943
2023-10-07 10:01:11                   15.964
2023-10-07 10:07:00                   15.987
2023-10-07 10:10:35                   15.961
2023-10-07 10:11:02                   15.989
2023-10-07 10:11:29                   15.952
2023-10-07 10:14:10                   15.982
2023-10-07 10:16:25                   15.952
2023-10-07 10:16:52                   15.979
2023-10-07 10:20:27                   15.951
2023-10-07 10:20:54                   15.987
2023-10-07 10:21:21                   15.959
2023-10-07 10:21:48                   15.984
2023-10-07 10:22:15                   16.005
2023-10-07 10:23:08                   15.967
2023-10-07 10:23:35                   15.989
2023-10-07 10:24:02                   15.967
2023-10-07 10:28:31                   15.994
2023-10-07 10:29:52                   15.944
2023-10-07 10:30:46                   15.971
2023-10-07 10:37:56                   15.948
2023-10-07 10:38:23                   15.982
2023-10-07 10:38:50                   15.954
2023-10-07 10:40:37                   15.979
2023-10-07 10:41:04                   15.947
2023-10-07 10:41:31                   15.972
2023-10-07 10:41:58                   15.944
