        Date        hcnps_intlk_cz_t_front_11
2023-11-09 00:00:00                     22.42
2023-11-09 00:02:01                    22.398
2023-11-09 00:02:28                    22.429
2023-11-09 00:06:30                    22.399
2023-11-09 00:06:57                    22.421
2023-11-09 00:14:35                    22.442
2023-11-09 00:15:02                    22.407
2023-11-09 00:17:16                    22.429
2023-11-09 00:19:04                    22.402
2023-11-09 00:21:19                    22.427
2023-11-09 00:21:46                    22.399
2023-11-09 00:22:12                    22.421
2023-11-09 00:27:09                    22.399
2023-11-09 00:28:29                    22.427
2023-11-09 00:28:56                    22.395
2023-11-09 00:30:44                    22.421
2023-11-09 00:33:25                     22.39
2023-11-09 00:33:52                    22.423
2023-11-09 00:34:46                    22.399
2023-11-09 00:35:13                     22.42
2023-11-09 00:39:42                      22.4
2023-11-09 00:40:09                    22.427
2023-11-09 00:41:03                     22.39
2023-11-09 00:41:30                    22.432
2023-11-09 00:41:57                    22.399
2023-11-09 00:45:32                    22.422
2023-11-09 00:45:59                     22.39
2023-11-09 00:46:53                    22.412
2023-11-09 00:49:07                    22.387
2023-11-09 00:50:28                    22.415
2023-11-09 00:51:22                    22.385
2023-11-09 00:53:10                    22.407
2023-11-09 00:58:06                    22.385
2023-11-09 01:02:08                     22.41
2023-11-09 01:02:35                    22.385
2023-11-09 01:03:29                    22.409
2023-11-09 01:04:23                    22.387
2023-11-09 01:20:32                    22.366
2023-11-09 01:22:19                    22.398
2023-11-09 01:23:13                     22.37
2023-11-09 01:29:03                    22.398
2023-11-09 01:29:30                    22.359
2023-11-09 01:31:18                     22.38
2023-11-09 01:36:40                    22.355
2023-11-09 01:37:34                    22.385
2023-11-09 01:42:30                    22.363
2023-11-09 01:43:51                    22.385
2023-11-09 01:47:27                    22.361
2023-11-09 01:47:53                    22.388
2023-11-09 01:48:20                    22.355
2023-11-09 01:49:14                    22.381
2023-11-09 01:57:19                    22.337
2023-11-09 01:57:46                    22.376
2023-11-09 02:03:35                    22.351
2023-11-09 02:04:02                    22.385
2023-11-09 02:04:29                    22.359
2023-11-09 02:13:01                    22.381
2023-11-09 02:17:57                    22.359
2023-11-09 02:25:34                    22.337
2023-11-09 02:27:22                    22.359
2023-11-09 02:33:38                    22.339
2023-11-09 02:35:53                    22.366
2023-11-09 02:36:20                    22.331
2023-11-09 02:38:35                    22.368
2023-11-09 02:39:28                    22.337
