        Date        hcnps_intlk_cz_t_front_53
2023-11-09 00:00:00                    22.256
2023-11-09 00:02:28                    22.222
2023-11-09 00:03:49                    22.249
2023-11-09 00:06:30                    22.224
2023-11-09 00:07:24                    22.253
2023-11-09 00:09:39                    22.224
2023-11-09 00:10:06                    22.246
2023-11-09 00:11:53                    22.214
2023-11-09 00:12:20                    22.236
2023-11-09 00:19:31                    22.206
2023-11-09 00:19:58                    22.253
2023-11-09 00:20:25                    22.227
2023-11-09 00:23:06                    22.251
2023-11-09 00:26:42                    22.227
2023-11-09 00:27:35                    22.256
2023-11-09 00:28:02                    22.231
2023-11-09 00:43:18                    22.205
2023-11-09 00:43:44                    22.227
2023-11-09 00:56:45                    22.205
2023-11-09 00:57:39                    22.229
2023-11-09 01:00:47                    22.202
2023-11-09 01:01:14                    22.227
2023-11-09 01:03:02                    22.197
2023-11-09 01:03:29                    22.219
2023-11-09 01:16:29                    22.197
2023-11-09 01:20:05                    22.227
2023-11-09 01:21:52                    22.195
2023-11-09 01:24:07                    22.217
2023-11-09 01:30:51                    22.195
2023-11-09 01:31:44                    22.217
2023-11-09 01:33:05                    22.195
2023-11-09 01:33:32                    22.219
2023-11-09 01:36:14                    22.197
2023-11-09 01:38:55                    22.222
2023-11-09 01:40:16                      22.2
2023-11-09 02:07:11                     22.17
2023-11-09 02:07:38                    22.207
2023-11-09 02:08:05                     22.18
2023-11-09 02:11:13                    22.202
2023-11-09 02:14:48                    22.178
2023-11-09 02:15:42                      22.2
2023-11-09 02:21:32                    22.178
2023-11-09 02:21:59                    22.202
2023-11-09 02:22:53                    22.178
2023-11-09 02:28:42                    22.214
2023-11-09 02:29:36                     22.19
2023-11-09 02:36:20                    22.212
2023-11-09 02:36:47                    22.185
2023-11-09 02:48:00                    22.163
2023-11-09 02:48:54                    22.187
2023-11-09 02:53:23                    22.158
2023-11-09 02:53:50                    22.187
2023-11-09 02:54:17                    22.161
2023-11-09 02:55:10                    22.183
2023-11-09 02:58:46                    22.161
2023-11-09 03:00:33                    22.187
2023-11-09 03:01:54                    22.165
2023-11-09 03:02:21                    22.197
2023-11-09 03:02:48                    22.175
2023-11-09 03:09:59                    22.151
2023-11-09 03:10:26                    22.187
2023-11-09 03:10:52                    22.158
2023-11-09 03:14:01                    22.187
2023-11-09 03:14:28                    22.165
2023-11-09 03:16:16                    22.192
2023-11-09 03:17:09                    22.165
2023-11-09 03:23:26                    22.187
2023-11-09 03:23:53                    22.163
2023-11-09 03:29:43                    22.185
2023-11-09 03:31:58                    22.158
2023-11-09 03:33:45                     22.19
2023-11-09 03:36:27                    22.163
2023-11-09 03:37:48                     22.19
2023-11-09 03:38:14                    22.141
2023-11-09 03:38:41                    22.168
2023-11-09 03:40:02                    22.195
2023-11-09 03:40:56                    22.168
2023-11-09 03:42:44                    22.192
2023-11-09 03:43:38                    22.158
2023-11-09 03:44:04                    22.183
2023-11-09 03:54:51                    22.161
2023-11-09 03:57:59                    22.195
2023-11-09 03:58:26                     22.17
2023-11-09 04:05:10                    22.192
2023-11-09 04:05:37                     22.17
2023-11-09 04:19:31                    22.143
2023-11-09 04:20:52                    22.178
2023-11-09 04:22:39                    22.148
2023-11-09 04:24:00                    22.173
2023-11-09 04:25:21                    22.151
2023-11-09 04:28:56                    22.129
2023-11-09 04:29:23                    22.158
2023-11-09 04:34:46                    22.136
2023-11-09 04:35:13                    22.158
2023-11-09 04:40:36                    22.134
2023-11-09 04:41:03                    22.158
2023-11-09 04:53:36                    22.136
2023-11-09 04:54:03                    22.158
2023-11-09 04:58:32                    22.131
2023-11-09 04:58:59                    22.156
2023-11-09 05:16:55                    22.178
2023-11-09 05:17:49                    22.153
2023-11-09 05:23:12                    22.175
2023-11-09 05:25:00                    22.153
2023-11-09 05:31:43                    22.187
2023-11-09 05:32:10                    22.141
2023-11-09 05:35:46                    22.161
2023-11-09 05:40:42                    22.141
2023-11-09 05:59:32                    22.163
2023-11-09 06:00:53                    22.139
2023-11-09 06:07:36                    22.168
2023-11-09 06:08:03                    22.124
2023-11-09 06:10:45                    22.146
2023-11-09 06:17:55                    22.121
2023-11-09 06:18:49                    22.146
2023-11-09 06:20:37                    22.124
2023-11-09 06:21:04                    22.146
2023-11-09 06:21:30                    22.124
2023-11-09 06:23:18                    22.146
2023-11-09 06:31:49                    22.124
2023-11-09 06:32:16                    22.148
2023-11-09 06:35:25                    22.112
2023-11-09 06:35:51                    22.139
2023-11-09 06:42:08                    22.117
2023-11-09 06:42:35                    22.141
2023-11-09 06:47:31                    22.163
2023-11-09 06:47:58                    22.141
2023-11-09 06:50:39                    22.114
2023-11-09 06:51:33                    22.144
2023-11-09 06:52:54                    22.121
