        Date           ibcm1  
2023-10-10 08:06:23    13.6186
2023-10-10 08:06:25    13.8273
2023-10-10 08:06:27    13.8131
2023-10-10 08:06:29    13.7756
2023-10-10 08:06:31    13.7088
2023-10-10 08:06:33    13.5763
2023-10-10 08:06:35    13.9981
2023-10-10 08:06:37     14.019
2023-10-10 08:06:39    14.3887
2023-10-10 08:06:41    14.4434
2023-10-10 08:06:43    14.2171
2023-10-10 08:06:45    14.1334
2023-10-10 08:06:47     14.074
2023-10-10 08:06:49    14.1942
2023-10-10 08:06:51    13.8275
2023-10-10 08:06:53    13.9822
2023-10-10 08:06:55    13.9246
2023-10-10 08:06:57    13.7522
2023-10-10 08:06:59    13.9466
2023-10-10 08:07:01    13.8657
2023-10-10 08:07:03    13.6127
2023-10-10 08:07:05    13.8395
2023-10-10 08:07:07    13.8047
2023-10-10 08:07:09    13.7279
2023-10-10 08:07:11    13.5744
2023-10-10 08:07:13    13.8049
2023-10-10 08:07:15    13.6197
2023-10-10 08:07:17    13.6538
2023-10-10 08:07:19    13.7494
2023-10-10 08:07:21    13.6875
2023-10-10 08:07:23    13.5601
2023-10-10 08:07:25    13.5982
2023-10-10 08:07:27    13.6101
2023-10-10 08:07:29    13.5084
2023-10-10 08:07:31    13.8544
2023-10-10 08:07:33    13.7998
2023-10-10 08:07:35     13.662
2023-10-10 08:07:37    13.7942
2023-10-10 08:07:39    13.7456
2023-10-10 08:07:41    13.7985
2023-10-10 08:07:43    13.8551
2023-10-10 08:07:45    13.8685
2023-10-10 08:07:47    13.8996
2023-10-10 08:07:49    13.8279
2023-10-10 08:07:53      13.89
2023-10-10 08:07:55    13.8008
2023-10-10 08:07:57    13.9203
2023-10-10 08:07:59     13.908
2023-10-10 08:08:01    13.7696
2023-10-10 08:08:03    13.8414
2023-10-10 08:08:05    13.7428
2023-10-10 08:08:07    13.8778
2023-10-10 08:08:09     13.739
2023-10-10 08:08:11    13.7759
2023-10-10 08:08:13    1.99434
2023-10-10 08:08:15 -0.0312818
2023-10-10 08:09:41    1.48073
2023-10-10 08:09:43    2.43873
2023-10-10 08:09:45     4.6106
2023-10-10 08:09:47    6.25142
2023-10-10 08:09:49    10.7248
2023-10-10 08:09:51    12.3406
2023-10-10 08:09:53     13.483
2023-10-10 08:09:55    13.5645
2023-10-10 08:10:01    13.5511
2023-10-10 08:10:05    13.5259
2023-10-10 08:10:07    13.4838
