        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 04:15:29                                    20.08
2023-11-09 04:16:23                                    20.05
2023-11-09 04:27:09                                    20.02
2023-11-09 04:34:46                                    19.99
2023-11-09 04:35:13                                    19.96
2023-11-09 04:35:40                                    19.99
2023-11-09 04:38:22                                    19.93
2023-11-09 04:38:48                                    19.97
2023-11-09 04:41:03                                       20
2023-11-09 04:41:57                                    19.97
2023-11-09 04:47:20                                    19.94
2023-11-09 04:48:14                                    19.98
2023-11-09 04:51:22                                    19.94
2023-11-09 04:52:16                                    19.99
2023-11-09 04:53:37                                    20.01
2023-11-09 04:56:18                                    19.97
2023-11-09 04:56:45                                    19.94
2023-11-09 04:58:06                                    19.97
2023-11-09 04:58:32                                    19.94
2023-11-09 04:58:59                                    19.97
2023-11-09 05:00:47                                       20
2023-11-09 05:04:49                                    19.97
2023-11-09 05:05:43                                    19.93
2023-11-09 05:06:10                                    19.97
2023-11-09 05:07:58                                       20
2023-11-09 05:08:51                                    19.97
2023-11-09 05:10:12                                       20
2023-11-09 05:10:39                                    19.96
2023-11-09 05:12:00                                       20
2023-11-09 05:15:35                                    20.03
2023-11-09 05:16:29                                    19.99
2023-11-09 05:16:56                                    20.01
2023-11-09 05:21:25                                    19.99
2023-11-09 05:22:46                                    20.03
2023-11-09 05:28:09                                    20.07
2023-11-09 05:29:29                                    20.03
2023-11-09 05:29:56                                    20.06
2023-11-09 05:30:50                                    20.03
2023-11-09 05:35:46                                    20.06
2023-11-09 05:42:03                                    20.03
2023-11-09 05:42:57                                    20.06
2023-11-09 05:43:24                                    20.03
2023-11-09 05:52:49                                    19.99
2023-11-09 05:53:16                                    20.02
2023-11-09 05:54:36                                    19.99
2023-11-09 05:55:03                                    20.02
2023-11-09 05:56:24                                    19.99
2023-11-09 05:57:45                                    20.01
2023-11-09 05:58:12                                    19.99
2023-11-09 06:01:20                                    20.02
2023-11-09 06:01:47                                    19.99
2023-11-09 06:04:28                                    20.02
2023-11-09 06:05:22                                    19.99
2023-11-09 06:06:16                                    20.01
2023-11-09 06:07:10                                    19.98
2023-11-09 06:12:06                                    20.01
2023-11-09 06:12:33                                    19.98
2023-11-09 06:13:53                                    20.03
2023-11-09 06:14:20                                    19.99
2023-11-09 06:15:14                                    20.03
2023-11-09 06:19:16                                    20.08
2023-11-09 06:19:43                                    20.05
2023-11-09 06:21:04                                    20.08
2023-11-09 06:23:45                                    20.05
2023-11-09 06:24:39                                    20.08
2023-11-09 06:25:06                                    20.05
2023-11-09 06:30:29                                    20.01
2023-11-09 06:31:50                                    20.05
2023-11-09 06:36:19                                    19.97
2023-11-09 06:36:46                                       20
2023-11-09 06:37:13                                    20.03
2023-11-09 06:38:06                                       20
2023-11-09 06:38:33                                    19.97
2023-11-09 06:40:48                                    20.01
2023-11-09 06:46:38                                    20.05
2023-11-09 06:47:05                                    20.02
2023-11-09 06:49:46                                    19.99
2023-11-09 06:50:40                                    19.93
2023-11-09 06:52:01                                    19.96
2023-11-09 06:52:28                                    19.92
2023-11-09 06:53:48                                    19.96
2023-11-09 06:58:17                                    19.93
2023-11-09 06:59:11                                    19.96
2023-11-09 07:01:26                                    19.93
2023-11-09 07:02:46                                    19.96
2023-11-09 07:05:28                                    19.93
2023-11-09 07:08:09                                    19.97
2023-11-09 07:09:03                                    19.94
2023-11-09 07:14:53                                    19.97
2023-11-09 07:15:47                                    20.01
2023-11-09 07:17:08                                    20.06
2023-11-09 07:28:47                                    20.02
2023-11-09 07:30:08                                    20.05
2023-11-09 07:32:50                                    20.02
2023-11-09 07:35:58                                    19.97
2023-11-09 07:36:25                                    19.93
2023-11-09 07:40:00                                     19.9
2023-11-09 07:40:27                                    19.93
2023-11-09 07:41:21                                    19.96
2023-11-09 07:41:48                                    19.93
2023-11-09 07:42:41                                    19.97
2023-11-09 07:43:08                                    19.94
2023-11-09 07:45:23                                    19.98
2023-11-09 07:46:17                                    20.03
2023-11-09 07:48:04                                    20.08
2023-11-09 07:49:52                                    20.05
2023-11-09 07:50:46                                    20.01
2023-11-09 07:52:34                                    20.04
