2188	3607	7.63921	600	2.01
2204	1424	8.71978	1124	1.01
2205	9210	57.8069	9293	1.01
2206	8726	55.4943	8289	1.01
2209	3471	21.9549	3663	1.01
2264	2741	17.3542	2362	1.01
2271	11625	29.2969	4076	2.01
2273	11964	31.5016	4385	2.01
2274	3018	8.58542	1095	2.01
2275	8699	21.5413	3685	2.01
2289	12180	79.2502	14043	1.01
2293	9776	64.9318	10712	1.01
2296	13536	41.5352	20048	2.01
2300	12479	38.8888	18828	2.01
2301	11735	36.6874	17598	2.01
2303	11549	36.2103	18162	2.01
2313	9356	70.3788	25810	1.01
2314	10824	85.0134	30581	1.01
2320	9921	30.2917	15402	2.01
2321	10834	33.4532	16439	2.01
2322	9568	74.912	27472	1.01
2323	9045	71.0991	25208	1.01
2324	9260	74.9117	26668	1.01
